lat lon date time z
-78.127600 -178.496800 10-01-2004 00:00:00 -0.310220
-78.127600 -178.496800 10-01-2004 00:10:00 -0.307570
-78.127600 -178.496800 10-01-2004 00:20:00 -0.304530
-78.127600 -178.496800 10-01-2004 00:30:00 -0.301110
-78.127600 -178.496800 10-01-2004 00:40:00 -0.297330
-78.127600 -178.496800 10-01-2004 00:50:00 -0.293200
-78.127600 -178.496800 10-01-2004 01:00:00 -0.288750
-78.127600 -178.496800 10-01-2004 01:10:00 -0.283970
-78.127600 -178.496800 10-01-2004 01:20:00 -0.278890
-78.127600 -178.496800 10-01-2004 01:30:00 -0.273520
-78.127600 -178.496800 10-01-2004 01:40:00 -0.267870
-78.127600 -178.496800 10-01-2004 01:50:00 -0.261950
-78.127600 -178.496800 10-01-2004 02:00:00 -0.255780
-78.127600 -178.496800 10-01-2004 02:10:00 -0.249360
-78.127600 -178.496800 10-01-2004 02:20:00 -0.242690
-78.127600 -178.496800 10-01-2004 02:30:00 -0.235800
-78.127600 -178.496800 10-01-2004 02:40:00 -0.228690
-78.127600 -178.496800 10-01-2004 02:50:00 -0.221360
-78.127600 -178.496800 10-01-2004 03:00:00 -0.213820
-78.127600 -178.496800 10-01-2004 03:10:00 -0.206070
-78.127600 -178.496800 10-01-2004 03:20:00 -0.198120
-78.127600 -178.496800 10-01-2004 03:30:00 -0.189970
-78.127600 -178.496800 10-01-2004 03:40:00 -0.181620
-78.127600 -178.496800 10-01-2004 03:50:00 -0.173090
-78.127600 -178.496800 10-01-2004 04:00:00 -0.164350
-78.127600 -178.496800 10-01-2004 04:10:00 -0.155430
-78.127600 -178.496800 10-01-2004 04:20:00 -0.146330
-78.127600 -178.496800 10-01-2004 04:30:00 -0.137030
-78.127600 -178.496800 10-01-2004 04:40:00 -0.127550
-78.127600 -178.496800 10-01-2004 04:50:00 -0.117880
-78.127600 -178.496800 10-01-2004 05:00:00 -0.108030
-78.127600 -178.496800 10-01-2004 05:10:00 -0.097995
-78.127600 -178.496800 10-01-2004 05:20:00 -0.087783
-78.127600 -178.496800 10-01-2004 05:30:00 -0.077393
-78.127600 -178.496800 10-01-2004 05:40:00 -0.066830
-78.127600 -178.496800 10-01-2004 05:50:00 -0.056097
-78.127600 -178.496800 10-01-2004 06:00:00 -0.045198
-78.127600 -178.496800 10-01-2004 06:10:00 -0.034140
-78.127600 -178.496800 10-01-2004 06:20:00 -0.022928
-78.127600 -178.496800 10-01-2004 06:30:00 -0.011571
-78.127600 -178.496800 10-01-2004 06:40:00 -0.000077
-78.127600 -178.496800 10-01-2004 06:50:00 0.011544
-78.127600 -178.496800 10-01-2004 07:00:00 0.023281
-78.127600 -178.496800 10-01-2004 07:10:00 0.035121
-78.127600 -178.496800 10-01-2004 07:20:00 0.047052
-78.127600 -178.496800 10-01-2004 07:30:00 0.059057
-78.127600 -178.496800 10-01-2004 07:40:00 0.071121
-78.127600 -178.496800 10-01-2004 07:50:00 0.083225
-78.127600 -178.496800 10-01-2004 08:00:00 0.095352
-78.127600 -178.496800 10-01-2004 08:10:00 0.107480
-78.127600 -178.496800 10-01-2004 08:20:00 0.119590
