lat lon date time z
-78.127600 -178.496800 10-01-2004 00:00:00 -0.310220
-78.127600 -178.496800 10-01-2004 01:00:00 -0.288750
-78.127600 -178.496800 10-01-2004 02:00:00 -0.255780
-78.127600 -178.496800 10-01-2004 03:00:00 -0.213820
-78.127600 -178.496800 10-01-2004 04:00:00 -0.164350
-78.127600 -178.496800 10-01-2004 05:00:00 -0.108030
-78.127600 -178.496800 10-01-2004 06:00:00 -0.045198
-78.127600 -178.496800 10-01-2004 07:00:00 0.023281
-78.127600 -178.496800 10-01-2004 08:00:00 0.095352
-78.127600 -178.496800 10-01-2004 09:00:00 0.167340
-78.127600 -178.496800 10-01-2004 10:00:00 0.234010
-78.127600 -178.496800 10-01-2004 11:00:00 0.289070
-78.127600 -178.496800 10-01-2004 12:00:00 0.326140
-78.127600 -178.496800 10-01-2004 13:00:00 0.339840
-78.127600 -178.496800 10-01-2004 14:00:00 0.326830
-78.127600 -178.496800 10-01-2004 15:00:00 0.286580
-78.127600 -178.496800 10-01-2004 16:00:00 0.221550
-78.127600 -178.496800 10-01-2004 17:00:00 0.137020
-78.127600 -178.496800 10-01-2004 18:00:00 0.040257
-78.127600 -178.496800 10-01-2004 19:00:00 -0.060454
-78.127600 -178.496800 10-01-2004 20:00:00 -0.156930
-78.127600 -178.496800 10-01-2004 21:00:00 -0.242030
-78.127600 -178.496800 10-01-2004 22:00:00 -0.310280
-78.127600 -178.496800 10-01-2004 23:00:00 -0.358140
-78.127600 -178.496800 10-02-2004 00:00:00 -0.383900
-78.127600 -178.496800 10-02-2004 01:00:00 -0.387290
-78.127600 -178.496800 10-02-2004 02:00:00 -0.369110
-78.127600 -178.496800 10-02-2004 03:00:00 -0.330790
-78.127600 -178.496800 10-02-2004 04:00:00 -0.274250
-78.127600 -178.496800 10-02-2004 05:00:00 -0.201860
-78.127600 -178.496800 10-02-2004 06:00:00 -0.116580
-78.127600 -178.496800 10-02-2004 07:00:00 -0.022247
-78.127600 -178.496800 10-02-2004 08:00:00 0.076375
-78.127600 -178.496800 10-02-2004 09:00:00 0.173560
-78.127600 -178.496800 10-02-2004 10:00:00 0.262950
-78.127600 -178.496800 10-02-2004 11:00:00 0.338010
-78.127600 -178.496800 10-02-2004 12:00:00 0.392760
-78.127600 -178.496800 10-02-2004 13:00:00 0.422450
-78.127600 -178.496800 10-02-2004 14:00:00 0.424140
-78.127600 -178.496800 10-02-2004 15:00:00 0.397160
-78.127600 -178.496800 10-02-2004 16:00:00 0.343130
-78.127600 -178.496800 10-02-2004 17:00:00 0.265840
-78.127600 -178.496800 10-02-2004 18:00:00 0.170770
-78.127600 -178.496800 10-02-2004 19:00:00 0.064567
-78.127600 -178.496800 10-02-2004 20:00:00 -0.045604
-78.127600 -178.496800 10-02-2004 21:00:00 -0.152570
-78.127600 -178.496800 10-02-2004 22:00:00 -0.249610
-78.127600 -178.496800 10-02-2004 23:00:00 -0.330750
-78.127600 -178.496800 10-03-2004 00:00:00 -0.391010
-78.127600 -178.496800 10-03-2004 01:00:00 -0.426550
-78.127600 -178.496800 10-03-2004 02:00:00 -0.434850
-78.127600 -178.496800 10-03-2004 03:00:00 -0.414880
-78.127600 -178.496800 10-03-2004 04:00:00 -0.367280
-78.127600 -178.496800 10-03-2004 05:00:00 -0.294500
-78.127600 -178.496800 10-03-2004 06:00:00 -0.200770
-78.127600 -178.496800 10-03-2004 07:00:00 -0.091995
-78.127600 -178.496800 10-03-2004 08:00:00 0.024664
-78.127600 -178.496800 10-03-2004 09:00:00 0.141300
-78.127600 -178.496800 10-03-2004 10:00:00 0.249980
-78.127600 -178.496800 10-03-2004 11:00:00 0.343380
-78.127600 -178.496800 10-03-2004 12:00:00 0.415510
-78.127600 -178.496800 10-03-2004 13:00:00 0.462060
-78.127600 -178.496800 10-03-2004 14:00:00 0.480690
-78.127600 -178.496800 10-03-2004 15:00:00 0.470940
-78.127600 -178.496800 10-03-2004 16:00:00 0.434080
-78.127600 -178.496800 10-03-2004 17:00:00 0.372750
-78.127600 -178.496800 10-03-2004 18:00:00 0.290640
-78.127600 -178.496800 10-03-2004 19:00:00 0.192280
-78.127600 -178.496800 10-03-2004 20:00:00 0.082884
-78.127600 -178.496800 10-03-2004 21:00:00 -0.031728
-78.127600 -178.496800 10-03-2004 22:00:00 -0.145140
-78.127600 -178.496800 10-03-2004 23:00:00 -0.250440
-78.127600 -178.496800 10-04-2004 00:00:00 -0.340550
-78.127600 -178.496800 10-04-2004 01:00:00 -0.408630
-78.127600 -178.496800 10-04-2004 02:00:00 -0.448770
-78.127600 -178.496800 10-04-2004 03:00:00 -0.456720
-78.127600 -178.496800 10-04-2004 04:00:00 -0.430620
-78.127600 -178.496800 10-04-2004 05:00:00 -0.371450
-78.127600 -178.496800 10-04-2004 06:00:00 -0.283190
-78.127600 -178.496800 10-04-2004 07:00:00 -0.172550
