lat lon date time z
-75.016700 -100.748600 01-01-2012 00:00:00 -0.177520
-75.016700 -100.748600 01-01-2012 00:10:00 -0.158470
-75.016700 -100.748600 01-01-2012 00:20:00 -0.138280
-75.016700 -100.748600 01-01-2012 00:30:00 -0.117050
-75.016700 -100.748600 01-01-2012 00:40:00 -0.094881
-75.016700 -100.748600 01-01-2012 00:50:00 -0.071893
-75.016700 -100.748600 01-01-2012 01:00:00 -0.048210
-75.016700 -100.748600 01-01-2012 01:10:00 -0.023959
-75.016700 -100.748600 01-01-2012 01:20:00 0.000725
-75.016700 -100.748600 01-01-2012 01:30:00 0.025706
-75.016700 -100.748600 01-01-2012 01:40:00 0.050844
-75.016700 -100.748600 01-01-2012 01:50:00 0.075996
-75.016700 -100.748600 01-01-2012 02:00:00 0.101020
-75.016700 -100.748600 01-01-2012 02:10:00 0.125770
-75.016700 -100.748600 01-01-2012 02:20:00 0.150110
-75.016700 -100.748600 01-01-2012 02:30:00 0.173890
-75.016700 -100.748600 01-01-2012 02:40:00 0.196970
-75.016700 -100.748600 01-01-2012 02:50:00 0.219230
-75.016700 -100.748600 01-01-2012 03:00:00 0.240540
-75.016700 -100.748600 01-01-2012 03:10:00 0.260760
-75.016700 -100.748600 01-01-2012 03:20:00 0.279780
-75.016700 -100.748600 01-01-2012 03:30:00 0.297500
-75.016700 -100.748600 01-01-2012 03:40:00 0.313800
-75.016700 -100.748600 01-01-2012 03:50:00 0.328590
-75.016700 -100.748600 01-01-2012 04:00:00 0.341800
-75.016700 -100.748600 01-01-2012 04:10:00 0.353340
-75.016700 -100.748600 01-01-2012 04:20:00 0.363140
-75.016700 -100.748600 01-01-2012 04:30:00 0.371170
-75.016700 -100.748600 01-01-2012 04:40:00 0.377360
-75.016700 -100.748600 01-01-2012 04:50:00 0.381700
-75.016700 -100.748600 01-01-2012 05:00:00 0.384160
-75.016700 -100.748600 01-01-2012 05:10:00 0.384730
-75.016700 -100.748600 01-01-2012 05:20:00 0.383410
-75.016700 -100.748600 01-01-2012 05:30:00 0.380230
-75.016700 -100.748600 01-01-2012 05:40:00 0.375210
-75.016700 -100.748600 01-01-2012 05:50:00 0.368380
-75.016700 -100.748600 01-01-2012 06:00:00 0.359790
-75.016700 -100.748600 01-01-2012 06:10:00 0.349520
-75.016700 -100.748600 01-01-2012 06:20:00 0.337610
-75.016700 -100.748600 01-01-2012 06:30:00 0.324160
-75.016700 -100.748600 01-01-2012 06:40:00 0.309260
-75.016700 -100.748600 01-01-2012 06:50:00 0.293000
-75.016700 -100.748600 01-01-2012 07:00:00 0.275480
-75.016700 -100.748600 01-01-2012 07:10:00 0.256820
